"","tran","time","zone"
"121",NA,"Post","Inshore"
"122",0,"Post","Inshore"
"123",NA,"Post","Inshore"
"124",0.166666666666667,"Pre","Offshore"
"125",NA,"Pre","Offshore"
"126",0,"Pre","Offshore"
"127",NA,"Pre","Offshore"
"128",NA,"Pre","Offshore"
"129",0.333333333333333,"Pre","Offshore"
"130",NA,"Pre","Offshore"
"131",1,"Pre","Offshore"
"132",NA,"Pre","Offshore"
"133",NA,"Pre","Offshore"
"134",NA,"Pre","Offshore"
"135",NA,"Pre","Offshore"
"136",0.333333333333333,"Pre","Offshore"
"137",NA,"Pre","Offshore"
"138",0,"Pre","Offshore"
"139",NA,"Pre","Offshore"
"140",NA,"Pre","Offshore"
"141",NA,"Pre","Offshore"
"142",NA,"Pre","Offshore"
"143",NA,"Pre","Offshore"
"144",NA,"Pre","Offshore"
"145",NA,"Pre","Offshore"
"146",0.166666666666667,"Pre","Offshore"
"147",NA,"Pre","Offshore"
"148",NA,"Pre","Offshore"
"149",NA,"Pre","Offshore"
"150",NA,"Pre","Offshore"
"151",NA,"Pre","Offshore"
"152",1,"Pre","Offshore"
"153",NA,"Pre","Offshore"
"154",NA,"Pre","Offshore"
"155",0.1,"Pre","Offshore"
"156",NA,"Pre","Offshore"
"157",0.333333333333333,"Pre","Offshore"
"158",NA,"Pre","Offshore"
"159",NA,"Pre","Offshore"
"160",NA,"Pre","Offshore"
"161",NA,"Pre","Offshore"
"162",NA,"Pre","Offshore"
"163",1,"Pre","Offshore"
"164",NA,"Pre","Offshore"
"165",1,"Irma","Offshore"
"166",NA,"Irma","Offshore"
"167",0.333333333333333,"Irma","Offshore"
"168",NA,"Irma","Offshore"
"169",NA,"Irma","Offshore"
"170",NA,"Irma","Offshore"
"171",NA,"Irma","Offshore"
"172",1,"Irma","Offshore"
"173",NA,"Irma","Offshore"
"174",NA,"Irma","Offshore"
"175",NA,"Irma","Offshore"
"176",NA,"Irma","Offshore"
"177",0,"Irma","Offshore"
"178",NA,"Irma","Offshore"
"179",NA,"Irma","Offshore"
"180",0,"Irma","Offshore"
"181",NA,"Irma","Offshore"
"182",NA,"Irma","Offshore"
"183",NA,"Irma","Offshore"
"184",NA,"Irma","Offshore"
"185",NA,"Irma","Offshore"
"186",NA,"Irma","Offshore"
"187",NA,"Irma","Offshore"
"188",NA,"Irma","Offshore"
"189",0,"Irma","Offshore"
"190",NA,"Irma","Offshore"
"191",NA,"Irma","Offshore"
"192",NA,"Irma","Offshore"
"193",NA,"Irma","Offshore"
"194",NA,"Irma","Offshore"
"195",0,"Irma","Offshore"
"196",0,"Irma","Offshore"
"197",NA,"Irma","Offshore"
"198",NA,"Irma","Offshore"
"199",NA,"Irma","Offshore"
"200",NA,"Irma","Offshore"
"201",NA,"Irma","Offshore"
"202",NA,"Irma","Offshore"
"203",NA,"Irma","Offshore"
"204",0,"Irma","Offshore"
"205",0,"Irma","Offshore"
"206",NA,"Post","Offshore"
"207",NA,"Post","Offshore"
"208",NA,"Post","Offshore"
"209",NA,"Post","Offshore"
"210",0,"Post","Offshore"
"211",NA,"Post","Offshore"
"212",NA,"Post","Offshore"
"213",NA,"Post","Offshore"
"214",NA,"Post","Offshore"
"215",NA,"Post","Offshore"
"216",NA,"Post","Offshore"
"217",NA,"Post","Offshore"
"218",NA,"Post","Offshore"
"219",NA,"Post","Offshore"
"220",0,"Post","Offshore"
"221",0.333333333333333,"Post","Offshore"
"222",NA,"Post","Offshore"
"223",NA,"Post","Offshore"
"224",NA,"Post","Offshore"
"225",NA,"Post","Offshore"
"226",NA,"Post","Offshore"
"227",NA,"Post","Offshore"
"228",NA,"Post","Offshore"
"229",NA,"Post","Offshore"
"230",NA,"Post","Offshore"
"231",NA,"Post","Offshore"
"232",NA,"Post","Offshore"
"233",NA,"Post","Offshore"
"234",NA,"Post","Offshore"
"235",NA,"Post","Offshore"
"236",NA,"Post","Offshore"
"237",NA,"Post","Offshore"
"238",NA,"Post","Offshore"
"239",NA,"Post","Offshore"
"240",NA,"Post","Offshore"
"241",NA,"Post","Offshore"
"242",0.333333333333333,"Post","Offshore"
"243",NA,"Post","Offshore"
"244",NA,"Post","Offshore"
"245",1,"Post","Offshore"
"246",NA,"Post","Offshore"
