,input,filtered,denoised,merged,tabled,nonchim
99,140509,137584,137321,135982,135013,134684
1037,37292,36186,36144,35996,34029,34029
1038,96876,92360,92254,91513,90101,89628
1039,30533,29812,29778,29748,28539,28533
1040,36572,35507,35419,35382,32895,32895
1041,126788,121249,120704,119152,105760,105751
1042,46699,45707,45585,45439,40359,40324
1043,39350,38209,38154,38085,37882,37858
1044,33220,31868,31843,31798,31449,31449
1045,52534,51412,51316,51124,44194,44164
1046,48539,46583,46558,46418,43453,43277
1047,49988,48707,46094,38534,38347,38214
1048,48247,47548,46269,43821,42636,42627
1049,26829,26237,24743,21928,21808,21808
1050,51197,49339,47820,43282,43050,43044
1051,32213,31526,30864,29285,27000,26988
1052,27857,27458,26621,24888,24783,24778
1053,53463,52070,50824,46947,46808,46684
1054,27798,27225,26768,25293,25018,25000
1055,20294,19968,18754,16007,15890,15886
1056,50659,49508,49225,47383,47048,47026
1007,55862,53048,52956,52807,51971,51971
1008,39384,38532,38460,38373,35194,35194
1009,33029,32133,31985,31527,30110,30110
1010,81975,79332,79036,78198,76538,76482
1011,42813,42353,41647,40189,39260,39200
1012,26967,25679,25639,25564,25164,25164
1013,67261,62568,62475,61404,60400,60400
1014,41984,41137,41066,40818,40012,40012
1015,29801,28872,28808,28683,27515,27515
1016,76121,72759,72545,70742,65274,65064
1017,45459,44647,44164,43051,35088,35088
1018,32822,31568,31270,30611,28770,28767
1019,71644,68229,67557,64622,62179,62179
1020,29950,29330,28669,27540,25362,25362
1021,78838,77431,76430,73363,72903,71935
1022,109885,106153,105953,105270,97152,97059
1023,74997,73816,73318,71723,66254,66152
1024,51648,50556,50284,46296,42225,42193
1025,69887,67882,66776,63159,62547,62545
1026,38223,37748,36509,34164,31977,31977
