,sqs,Kingdom,Phylum,Class,Order,Family,Genus,Species,cent,site,zone,time,index,full_sq
45,sq17,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Family_Cyclobacteriaceae,Family_Cyclobacteriaceae,0.936089985,UK2,Offshore,Post,45,Cyclobacteriaceae_45
115,sq4256,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Family_Cyclobacteriaceae,Family_Cyclobacteriaceae,0.994251437,LK1,Inshore,Irma,115,Cyclobacteriaceae_115
82,sq280,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,Genus_Defluviicoccus,0.927888233,UK2,Offshore,Post,82,Defluviicoccaceae_82
83,sq282,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,Genus_Defluviicoccus,0.545724516,UK1,Inshore,Irma,83,Defluviicoccaceae_83
155,sq6684,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Hormoscilla SI04-45,spongeliae,0.920959275,LK1,Offshore,Post,155,Desertifilaceae_155
22,sq1323,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Genus_Desulfobacter,0.830323375,LK1,Offshore,Irma,22,Desulfobacteraceae_22
23,sq1357,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Genus_Desulfobacter,0.883391039,LK1,Offshore,Irma,23,Desulfobacteraceae_23
94,sq337,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Family_Desulfocapsaceae,Family_Desulfocapsaceae,0.862955862,LK1,Inshore,Post,94,Desulfocapsaceae_94
147,sq64,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Family_Desulfocapsaceae,Family_Desulfocapsaceae,0.946836372,UK2,Offshore,Pre,147,Desulfocapsaceae_147
6,sq111,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfatitalea,Genus_Desulfatitalea,0.968401777,UK2,Offshore,Post,6,Desulfosarcinaceae_6
11,sq118,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Family_Desulfosarcinaceae,Family_Desulfosarcinaceae,0.932382346,UK2,Offshore,Pre,11,Desulfosarcinaceae_11
15,sq1227,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Zeaxanthinibacter,Genus_Zeaxanthinibacter,0.583472965,UK1,Inshore,Irma,15,Flavobacteriaceae_15
19,sq1302,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Genus_Muricauda,0.799484776,LK1,Offshore,Irma,19,Flavobacteriaceae_19
28,sq1463,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,Genus_Aquibacter,0.725385945,UK1,Inshore,Irma,28,Flavobacteriaceae_28
104,sq3691,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,Genus_Seonamhaeicola,1,LK1,Offshore,Pre,104,Flavobacteriaceae_104
116,sq431,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Family_Flavobacteriaceae,Family_Flavobacteriaceae,0.785398108,UK2,Inshore,Pre,116,Flavobacteriaceae_116
117,sq431,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Family_Flavobacteriaceae,Family_Flavobacteriaceae,1,UK2,Inshore,Irma,117,Flavobacteriaceae_117
118,sq438,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroserpens,Genus_Psychroserpens,0.995105067,LK1,Inshore,Irma,118,Flavobacteriaceae_118
134,sq540,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Genus_Muricauda,0.905695398,UK2,Inshore,Post,134,Flavobacteriaceae_134
145,sq630,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Genus_Mesoflavibacter,1,UK1,Offshore,Pre,145,Flavobacteriaceae_145
171,sq8192,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Genus_Mesoflavibacter,0.930322303,UK1,Offshore,Irma,171,Flavobacteriaceae_171
180,sq989,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Family_Flavobacteriaceae,Family_Flavobacteriaceae,0.925724721,UK2,Offshore,Pre,180,Flavobacteriaceae_180
3,sq106,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Fodinicurvataceae,Fodinicurvata,Genus_Fodinicurvata,0.952642578,UK2,Inshore,Post,3,Fodinicurvataceae_3
54,sq203,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Fodinicurvataceae,Fodinicurvata,Genus_Fodinicurvata,0.974517375,UK1,Inshore,Post,54,Fodinicurvataceae_54
97,sq345,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,MD3-55,Genus_MD3-55,0.984315178,LK1,Inshore,Irma,97,Fokiniaceae_97
141,sq623,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,Genus_Fusibacter,1,LK1,Offshore,Irma,141,Fusibacteraceae_141
17,sq12623,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium,Genus_Propionigenium,0.83789836,LK1,Inshore,Post,17,Fusobacteriaceae_17
14,sq1213,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Haliea,Genus_Haliea,0.977875558,UK1,Offshore,Pre,14,Halieaceae_14
47,sq1731,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Family_Halieaceae,Family_Halieaceae,0.877591657,LK1,Offshore,Irma,47,Halieaceae_47
55,sq2036,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Parahaliea,Genus_Parahaliea,1,UK1,Inshore,Irma,55,Halieaceae_55
77,sq262,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Family_Helicobacteraceae,Family_Helicobacteraceae,0.981170642,UK1,Offshore,Post,77,Helicobacteraceae_77
7,sq1116,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Holospora,Genus_Holospora,0.98576263,UK2,Inshore,Pre,7,Holosporaceae_7
59,sq2144,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Family_Hydrogenedensaceae,Family_Hydrogenedensaceae,0.992186003,UK2,Offshore,Irma,59,Hydrogenedensaceae_59
122,sq4493,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,Genus_Filomicrobium,0.867279163,LK1,Inshore,Post,122,Hyphomicrobiaceae_122
112,sq4107,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas,Genus_Algimonas,0.787588899,UK1,Inshore,Pre,112,Hyphomonadaceae_112
18,sq1286,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Pelagibius,Genus_Pelagibius,0.971593968,UK1,Inshore,Post,18,Kiloniellaceae_18
25,sq143,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Family_Kiloniellaceae,Family_Kiloniellaceae,0.997334988,UK2,Offshore,Irma,25,Kiloniellaceae_25
26,sq143,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Family_Kiloniellaceae,Family_Kiloniellaceae,0.926394864,UK2,Offshore,Pre,26,Kiloniellaceae_26
119,sq441,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Pelagibius,Genus_Pelagibius,0.913615752,LK1,Offshore,Post,119,Kiloniellaceae_119
158,sq70,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Family_Kiloniellaceae,Family_Kiloniellaceae,0.908152163,UK2,Offshore,Post,158,Kiloniellaceae_158
65,sq229,Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,0.960447511,LK1,Inshore,Post,65,Kingdom_Bacteria_65
69,sq2362,Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,1,LK1,Inshore,Post,69,Kingdom_Bacteria_69
154,sq665,Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,0.921074575,UK2,Offshore,Pre,154,Kingdom_Bacteria_154
48,sq1779,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,Genus_Kordiimonas,0.964603103,LK1,Offshore,Pre,48,Kordiimonadaceae_48
74,sq254,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Family_Leptolyngbyaceae,Family_Leptolyngbyaceae,0.983761989,LK1,Inshore,Irma,74,Leptolyngbyaceae_74
37,sq1592,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,Genus_Marinifilum,0.813759628,LK1,Offshore,Irma,37,Marinifilaceae_37
99,sq3536,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Genus_Odoribacter,0.770888274,UK2,Inshore,Pre,99,Marinifilaceae_99
135,sq5507,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Family_Methylacidiphilaceae,Family_Methylacidiphilaceae,0.967802518,LK1,Offshore,Pre,135,Methylacidiphilaceae_135
12,sq1201,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,AqS1,Genus_AqS1,0.980119307,LK1,Inshore,Irma,12,Nitrosococcaceae_12
58,sq2122,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Family_Nitrosococcaceae,Family_Nitrosococcaceae,0.978476172,LK1,Inshore,Irma,58,Nitrosococcaceae_58
106,sq38,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Nodosilineaceae,Family_Nodosilineaceae,Family_Nodosilineaceae,1,UK2,Inshore,Post,106,Nodosilineaceae_106
130,sq53,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Nodosilineaceae,MBIC10086,Genus_MBIC10086,0.976704999,UK1,Inshore,Post,130,Nodosilineaceae_130
151,sq649,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Nodosilineaceae,Family_Nodosilineaceae,Family_Nodosilineaceae,0.974946634,UK2,Offshore,Irma,151,Nodosilineaceae_151
56,sq2048,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,Family_NS9 marine group,Family_NS9 marine group,0.973160454,LK1,Offshore,Pre,56,NS9 marine group_56
93,sq3361,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Oleiphilus,Genus_Oleiphilus,0.896746522,UK1,Offshore,Irma,93,Oleiphilaceae_93
136,sq5603,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Oleiphilus,Genus_Oleiphilus,0.911757323,UK1,Offshore,Irma,136,Oleiphilaceae_136
85,sq300,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,OM182 clade,Family_OM182 clade,Family_OM182 clade,0.857610828,UK1,Inshore,Pre,85,OM182 clade_85
51,sq1875,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,Order_AT-s2-59,Order_AT-s2-59,Order_AT-s2-59,0.808284743,UK1,Inshore,Pre,51,Order_AT-s2-59_51
27,sq146,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,Order_BD7-8,Order_BD7-8,Order_BD7-8,0.784864777,UK1,Inshore,Irma,27,Order_BD7-8_27
161,sq7207,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,Order_Bradymonadales,Order_Bradymonadales,Order_Bradymonadales,0.898513005,UK2,Offshore,Pre,161,Order_Bradymonadales_161
67,sq23,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Order_Burkholderiales,Order_Burkholderiales,Order_Burkholderiales,0.959459844,LK1,Offshore,Post,67,Order_Burkholderiales_67
70,sq2427,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Order_Chitinophagales,Order_Chitinophagales,Order_Chitinophagales,0.888363671,LK1,Inshore,Post,70,Order_Chitinophagales_70
175,sq8926,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Order_Cyanobacteriales,Order_Cyanobacteriales,Order_Cyanobacteriales,0.948510548,LK1,Offshore,Post,175,Order_Cyanobacteriales_175
20,sq131,Bacteria,Proteobacteria,Alphaproteobacteria,Dstr-E11,Order_Dstr-E11,Order_Dstr-E11,Order_Dstr-E11,0.944024857,UK2,Inshore,Post,20,Order_Dstr-E11_20
157,sq6875,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Order_Enterobacterales,Order_Enterobacterales,Order_Enterobacterales,0.968389639,UK1,Offshore,Pre,157,Order_Enterobacterales_157
13,sq121,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Order_Ga0077536,Order_Ga0077536,Order_Ga0077536,0.976419002,UK2,Offshore,Irma,13,Order_Ga0077536_13
46,sq173,Bacteria,Proteobacteria,Gammaproteobacteria,JTB23,Order_JTB23,Order_JTB23,Order_JTB23,1,LK1,Inshore,Irma,46,Order_JTB23_46
89,sq3189,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Order_Planctomycetales,Order_Planctomycetales,Order_Planctomycetales,0.810584517,UK2,Inshore,Irma,89,Order_Planctomycetales_89
86,sq3089,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Order_Rhizobiales,Order_Rhizobiales,Order_Rhizobiales,0.963779081,UK2,Offshore,Irma,86,Order_Rhizobiales_86
64,sq2232,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Order_Rhodospirillales,Order_Rhodospirillales,Order_Rhodospirillales,0.914798789,UK2,Inshore,Post,64,Order_Rhodospirillales_64
90,sq3287,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,Order_Run-SP154,Order_Run-SP154,Order_Run-SP154,0.992572604,LK1,Inshore,Irma,90,Order_Run-SP154_90
29,sq148,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,1,UK2,Offshore,Pre,29,Order_Thalassobaculales_29
30,sq148,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,1,UK2,Offshore,Irma,30,Order_Thalassobaculales_30
84,sq30,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,1,LK1,Inshore,Pre,84,Order_Thalassobaculales_84
107,sq386,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,0.913595524,UK2,Inshore,Post,107,Order_Thalassobaculales_107
108,sq40,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,0.998539091,UK2,Inshore,Post,108,Order_Thalassobaculales_108
109,sq40,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,0.941395463,UK1,Offshore,Post,109,Order_Thalassobaculales_109
114,sq4201,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,0.862658197,UK2,Inshore,Irma,114,Order_Thalassobaculales_114
150,sq644,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,0.899744993,UK2,Inshore,Irma,150,Order_Thalassobaculales_150
164,sq78,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,0.983532869,UK2,Offshore,Post,164,Order_Thalassobaculales_164
165,sq78,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,0.891055631,UK2,Inshore,Post,165,Order_Thalassobaculales_165
174,sq88,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,Order_Thalassobaculales,0.981053234,UK2,Offshore,Post,174,Order_Thalassobaculales_174
139,sq60,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353 marine group,Order_UBA10353 marine group,Order_UBA10353 marine group,Order_UBA10353 marine group,0.918896765,UK1,Inshore,Pre,139,Order_UBA10353 marine group_139
159,sq703,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Family_Parvibaculaceae,Family_Parvibaculaceae,0.873071977,LK1,Inshore,Pre,159,Parvibaculaceae_159
160,sq703,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Family_Parvibaculaceae,Family_Parvibaculaceae,0.947460421,LK1,Offshore,Post,160,Parvibaculaceae_160
149,sq643,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Acrophormium PCC-7375,Genus_Acrophormium PCC-7375,0.909118288,LK1,Offshore,Irma,149,Phormidesmiaceae_149
2,sq1043,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group,Genus_Urania-1B-19 marine sediment group,0.964386843,LK1,Offshore,Pre,2,Phycisphaeraceae_2
33,sq1527,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Family_Phycisphaeraceae,Family_Phycisphaeraceae,0.977471609,UK1,Inshore,Post,33,Phycisphaeraceae_33
35,sq1550,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,Genus_Phycisphaera,0.884215858,LK1,Inshore,Pre,35,Phycisphaeraceae_35
40,sq1645,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,Genus_SM1A02,0.972274416,LK1,Offshore,Pre,40,Phycisphaeraceae_40
91,sq3311,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Family_Phycisphaeraceae,Family_Phycisphaeraceae,0.872957101,UK2,Inshore,Irma,91,Phycisphaeraceae_91
156,sq6751,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group,Genus_Urania-1B-19 marine sediment group,0.82472212,LK1,Offshore,Irma,156,Phycisphaeraceae_156
172,sq848,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Family_Phycisphaeraceae,Family_Phycisphaeraceae,0.92741272,LK1,Offshore,Post,172,Phycisphaeraceae_172
152,sq661,Bacteria,Marinimicrobia (SAR406 clade),Phylum_Marinimicrobia (SAR406 clade),Phylum_Marinimicrobia (SAR406 clade),Phylum_Marinimicrobia (SAR406 clade),Phylum_Marinimicrobia (SAR406 clade),Phylum_Marinimicrobia (SAR406 clade),0.88226914,UK2,Inshore,Pre,152,Phylum_Marinimicrobia (SAR406 clade)_152
38,sq1619,Bacteria,NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,0.970535344,UK2,Offshore,Irma,38,Phylum_NB1-j_38
79,sq264,Bacteria,NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,0.974054676,UK1,Inshore,Post,79,Phylum_NB1-j_79
